地區,大廈名單,個案最後到訪日期,相關個案編號,Latitude,Longitude,update_time
中西區,山景園,2022-07-12,,22.28485,114.13504,2022-07-14 11:14:24.578348
中西區,文咸東街146號,2022-07-12,,22.28629,114.14907,2022-07-14 11:14:24.578348
中西區,再輝大廈,2022-07-12,,22.28375,114.13122,2022-07-14 11:14:24.578348
中西區,同達大廈,2022-07-12,,22.28676,114.1371,2022-07-14 11:14:24.578348
中西區,地利根德閣3座,2022-07-12,,22.27454,114.15264,2022-07-14 11:14:24.578348
中西區,均益大廈1期,2022-07-12,,22.28676,114.13446,2022-07-14 11:14:24.578348
中西區,均益大廈3期A座,2022-07-12,,22.28817,114.14021,2022-07-14 11:14:24.578348
中西區,良基大廈,2022-07-12,,22.28736,114.13928,2022-07-14 11:14:24.578348
中西區,昌運大廈,2022-07-12,,22.28456,114.136,2022-07-14 11:14:24.578348
中西區,昌運大廈,2022-07-12,,22.28456,114.136,2022-07-14 11:14:24.578348
中西區,金莉大廈,2022-07-12,,22.28049,114.15129,2022-07-14 11:14:24.578348
中西區,金碧閣,2022-07-12,,22.3009,114.17489,2022-07-14 11:14:24.578348
中西區,珍珠閣,2022-07-12,,22.28448,114.13108,2022-07-14 11:14:24.578348
中西區,皇后大道西305號,2022-07-12,,22.28705,114.14208,2022-07-14 11:14:24.578348
中西區,皇后大道西326號,2022-07-12,,22.2868,114.1415,2022-07-14 11:14:24.578348
中西區,美景臺,2022-07-12,,22.26967,114.12493,2022-07-14 11:14:24.578348
中西區,香港JW萬豪酒店,2022-07-12,,22.2775,114.16633,2022-07-14 11:14:24.578348
中西區,香港大學賽馬會第三學生村志新學院,2022-07-12,,22.27895,114.12869,2022-07-14 11:14:24.578348
中西區,海雅閣,2022-07-12,,22.28268,114.14989,2022-07-14 11:14:24.578348
中西區,高街16號,2022-07-12,,22.28504,114.14267,2022-07-14 11:14:24.578348
中西區,高逸華軒,2022-07-12,,22.28329,114.12745,2022-07-14 11:14:24.578348
中西區,堅城中心,2022-07-12,,22.28419,114.13048,2022-07-14 11:14:24.578348
中西區,康威園,2022-07-12,,22.27993,114.14914,2022-07-14 11:14:24.578348
中西區,荷李活大樓,2022-07-12,,22.28521,114.14834,2022-07-14 11:14:24.578348
中西區,華富邨華信樓,2022-07-12,,22.25101,114.13569,2022-07-14 11:14:24.578348
中西區,業昌大廈,2022-07-12,,22.28652,114.13507,2022-07-14 11:14:24.578348
中西區,毓明閣1座,2022-07-12,,22.2857,114.13773,2022-07-14 11:14:24.578348
中西區,裕新大廈1座,2022-07-12,,22.28601,114.1415,2022-07-14 11:14:24.578348
中西區,雍翠臺,2022-07-12,,22.28331,114.15066,2022-07-14 11:14:24.578348
中西區,嘉富臺,2022-07-12,,22.28244,114.14599,2022-07-14 11:14:24.578348
中西區,嘉富臺,2022-07-12,,22.28244,114.14599,2022-07-14 11:14:24.578348
中西區,福華洋樓,2022-07-12,,22.28939,114.19708,2022-07-14 11:14:24.578348
中西區,福滿大廈,2022-07-12,,22.28556,114.14195,2022-07-14 11:14:24.578348
中西區,慧明苑2座,2022-07-12,,22.28029,114.15011,2022-07-14 11:14:24.578348
中西區,蔚華閣,2022-07-12,,22.28167,114.14755,2022-07-14 11:14:24.578348
中西區,賢德大廈,2022-07-12,,22.28529,114.14176,2022-07-14 11:14:24.578348
中西區,適安大廈,2022-07-12,,22.28519,114.13558,2022-07-14 11:14:24.578348
中西區,翰林峰1座,2022-07-12,,22.28554,114.13653,2022-07-14 11:14:24.578348
中西區,翰林軒2座,2022-07-12,,22.28111,114.13001,2022-07-14 11:14:24.578348
中西區,興揚大廈,2022-07-12,,22.28311,114.15225,2022-07-14 11:14:24.578348
中西區,聯康新樓,2022-07-12,,22.28223,114.12749,2022-07-14 11:14:24.578348
中西區,薈萃苑,2022-07-12,,22.27849,114.15293,2022-07-14 11:14:24.578348
中西區,駿豪閣,2022-07-12,,22.28079,114.14882,2022-07-14 11:14:24.578348
中西區,羅便臣道31號,2022-07-12,,22.27915,114.15129,2022-07-14 11:14:24.578348
中西區,寶園,2022-07-12,,22.27413,114.15572,2022-07-14 11:14:24.578348
中西區,寶園,2022-07-12,,22.27413,114.15572,2022-07-14 11:14:24.578348
中西區,寶翠園6座,2022-07-12,,22.28548,114.13346,2022-07-14 11:14:24.578348
中西區,蘭桂坊酒店,2022-07-12,,22.28428,114.15311,2022-07-14 11:14:24.578348
中西區,三滙大廈,2022-07-11,,22.28648,114.13249,2022-07-14 11:14:24.578348
中西區,太古廣場栢舍,2022-07-11,,22.2772,114.16442,2022-07-14 11:14:24.578348
中西區,太古廣場栢舍,2022-07-11,,22.2772,114.16442,2022-07-14 11:14:24.578348
中西區,加惠臺,2022-07-11,,22.28164,114.12469,2022-07-14 11:14:24.578348
中西區,本舍,2022-07-11,,22.28132,114.15323,2022-07-14 11:14:24.578348
中西區,本舍,2022-07-11,,22.28132,114.15323,2022-07-14 11:14:24.578348
中西區,百年大樓2座,2022-07-11,,22.28174,114.12602,2022-07-14 11:14:24.578348
中西區,百事樓,2022-07-11,,22.45823,114.20538,2022-07-14 11:14:24.578348
中西區,均益大廈3期B座,2022-07-11,,22.28826,114.14058,2022-07-14 11:14:24.578348
中西區,宜必思香港中上環酒店,2022-07-11,,22.28753,114.14756,2022-07-14 11:14:24.578348
中西區,金陵閣,2022-07-11,,22.2859,114.13435,2022-07-14 11:14:24.578348
中西區,青蓮閣,2022-07-11,,22.28249,114.13131,2022-07-14 11:14:24.578348
中西區,信怡閣,2022-07-11,,22.28076,114.15058,2022-07-14 11:14:24.578348
中西區,南華大廈,2022-07-11,,22.2853,114.13475,2022-07-14 11:14:24.578348
中西區,恒裕大廈,2022-07-11,,22.2818,114.12637,2022-07-14 11:14:24.578348
中西區,美暉大廈,2022-07-11,,22.28299,114.12836,2022-07-14 11:14:24.578348
中西區,美麗閣,2022-07-11,,22.28219,114.14837,2022-07-14 11:14:24.578348
中西區,英輝閣,2022-07-11,,22.2812,114.15121,2022-07-14 11:14:24.578348
中西區,展鴻閣,2022-07-11,,22.28339,114.13154,2022-07-14 11:14:24.578348
中西區,海都樓,2022-07-11,,22.28464,114.13156,2022-07-14 11:14:24.578348
中西區,海景大廈,2022-07-11,,22.23808,114.19524,2022-07-14 11:14:24.578348
中西區,益豐花園A座,2022-07-11,,22.28565,114.132,2022-07-14 11:14:24.578348
中西區,高雲臺,2022-07-11,,22.28154,114.15,2022-07-14 11:14:24.578348
中西區,域多利道410號,2022-07-11,,22.27839,114.11793,2022-07-14 11:14:24.578348
中西區,博仕臺,2022-07-11,,22.28654,114.13774,2022-07-14 11:14:24.578348
中西區,富景花園1座,2022-07-11,,22.28179,114.14741,2022-07-14 11:14:24.578348
中西區,順景雅庭,2022-07-11,,22.28492,114.14791,2022-07-14 11:14:24.578348
中西區,奧卑利街已婚警察宿舍,2022-07-11,,22.28132,114.15323,2022-07-14 11:14:24.578348
中西區,雋庭,2022-07-11,,22.28319,114.12856,2022-07-14 11:14:24.578348
中西區,嘉富麗苑,2022-07-11,,22.27399,114.15348,2022-07-14 11:14:24.578348
中西區,福苑1座,2022-07-11,,22.28206,114.14321,2022-07-14 11:14:24.578348
中西區,翠麗苑,2022-07-11,,22.27994,114.12928,2022-07-14 11:14:24.578348
中西區,慧明苑1座,2022-07-11,,22.28039,114.14991,2022-07-14 11:14:24.578348
中西區,樂信臺2座,2022-07-11,,22.27915,114.15349,2022-07-14 11:14:24.578348
中西區,學士臺3座,2022-07-11,,22.28212,114.13148,2022-07-14 11:14:24.578348
中西區,曉峰閣2座,2022-07-11,,22.27523,114.15236,2022-07-14 11:14:24.578348
中西區,聯德大廈,2022-07-11,,22.2877,114.1435,2022-07-14 11:14:24.578348
中西區,聯德新樓,2022-07-11,,22.28168,114.12814,2022-07-14 11:14:24.578348
中西區,豐林閣,2022-07-11,,22.2853,114.19925,2022-07-14 11:14:24.578348
中西區,寶雲山莊,2022-07-11,,22.27417,114.16047,2022-07-14 11:14:24.578348
中西區,寶翠園1座,2022-07-11,,22.28479,114.13269,2022-07-14 11:14:24.578348
中西區,寶翠園3座,2022-07-11,,22.28473,114.13392,2022-07-14 11:14:24.578348
中西區,寶翠園5座,2022-07-11,,22.28507,114.1337,2022-07-14 11:14:24.578348
中西區,寶翠園8座,2022-07-11,,22.28585,114.13322,2022-07-14 11:14:24.578348
中西區,觀龍樓2座,2022-07-11,,22.28057,114.12724,2022-07-14 11:14:24.578348
中西區,大安臺8號,2022-07-10,,22.28441,114.14715,2022-07-14 11:14:24.578348
中西區,文華大廈,2022-07-10,,22.28562,114.15249,2022-07-14 11:14:24.578348
中西區,吉席街42號,2022-07-10,,22.28312,114.12782,2022-07-14 11:14:24.578348
中西區,尚雅苑,2022-07-10,,22.28513,114.14857,2022-07-14 11:14:24.578348
中西區,怡景花園2座,2022-07-10,,22.28668,114.1383,2022-07-14 11:14:24.578348
中西區,泓都2座,2022-07-10,,22.28315,114.1262,2022-07-14 11:14:24.578348
中西區,金鳳閣,2022-07-10,,22.28429,114.14212,2022-07-14 11:14:24.578348
中西區,金輝大廈,2022-07-10,,22.44268,114.02638,2022-07-14 11:14:24.578348
中西區,俊賢花園2座,2022-07-10,,22.28314,114.14248,2022-07-14 11:14:24.578348
中西區,皇后商業大廈,2022-07-10,,22.28548,114.14953,2022-07-14 11:14:24.578348
中西區,殷樺花園2期,2022-07-10,,22.2812,114.14808,2022-07-14 11:14:24.578348
中西區,海都樓B座,2022-07-10,,22.28464,114.13156,2022-07-14 11:14:24.578348
中西區,堅尼地大廈,2022-07-10,,22.28247,114.12661,2022-07-14 11:14:24.578348
中西區,順暉大廈,2022-07-10,,22.28294,114.12758,2022-07-14 11:14:24.578348
中西區,裕利大廈,2022-07-10,,22.28465,114.15013,2022-07-14 11:14:24.578348
中西區,雍景臺1座,2022-07-10,,22.28192,114.14918,2022-07-14 11:14:24.578348
中西區,嘉兆臺1座,2022-07-10,,22.27964,114.15316,2022-07-14 11:14:24.578348
中西區,嘉景臺,2022-07-10,,22.28209,114.15166,2022-07-14 11:14:24.578348
中西區,嘉裕樓,2022-07-10,,22.28795,114.1461,2022-07-14 11:14:24.578348
中西區,寧養台A座,2022-07-10,,22.28448,114.14124,2022-07-14 11:14:24.578348
中西區,精緻園,2022-07-10,,22.2833,114.14077,2022-07-14 11:14:24.578348
中西區,學士臺2座,2022-07-10,,22.28226,114.13175,2022-07-14 11:14:24.578348
